rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/clip_range,curriculum/stage,curriculum/preferred_eval_mode,curriculum/grid_size,train/ent_coef,curriculum/stage_timesteps,curriculum/max_steps,train/stage_learning_rate,curriculum/obs_quantity,eval/full_coverage_rate,eval/std_reward,eval/mean_reward,eval/mean_ep_length,eval/stage_timesteps,eval/stage,eval/deterministic,eval/std_ep_length,eval/promotion_max_mean_length,eval/coverage_promotion_passed,eval/promotion_min_mean_reward,eval/promotion_full_coverage_rate,eval/deterministic_quality_passed,eval/mode_gap,eval/stochastic_quality_passed,eval/stochastic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/deterministic_promotion_floor,eval/quality_promotion_passed,eval/promotion_passed,eval/deterministic_full_coverage_rate
7.328062534332275,41.03,171520,545,19,89,-0.5011089060987745,263,0.5880875587463379,-0.0015016914020100282,7e-05,0.02290439,0.1293402777777778,0.14051595921554264,0.030849775299429893,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.277641773223877,42.81,174080,534,20,95,-0.4890674152250948,266,0.6435835361480713,0.0030021821630412133,7e-05,0.0119161485,0.14749461206896552,0.1364022160013174,0.05622227489948273,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.5074022220713752,267,0.5816624760627747,0.0019710282129900797,7e-05,0.0057573193,0.10825892857142858,0.3690981481756483,0.25682058930397034,0.15,,,,,,,,,1.0,0.3319390184289471,7.459516825675965,37.35,153600,1,0,12.65652005884714,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.92,5.509982459746489,6.1175223016738896,45.36,153600,1,1,46.57134741447793,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,1,,,32.5,1,6.75,1.0,0,0.07999999999999996,0,1.0,1.0,0.0,0,1,0.92
,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.3863003870252435,7.195033879876137,43.62,153600,1,0,32.53698818268219,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.88,5.558961582142922,5.757118704319001,52.41,153600,1,1,55.15053852864902,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,1,,,32.5,1,6.75,0.99,0,0.10999999999999999,0,0.99,0.99,0.0,0,1,0.88
,,,,,,,,,,,,,,,,,,,,,,,,0.96,2.384389270115981,6.915073735713959,45.69,153600,1,0,37.312918674368,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.92,2.697608423533901,6.810085000991822,45.43,153600,1,1,46.337944494765836,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,1,,,32.5,0,6.75,0.96,0,0.039999999999999925,0,0.96,0.96,0.0,0,0,0.92
6.781125068664551,48.18,176640,2178,1,1,,,,,,,,,,,1,1,5,0.0010000000000000009,153600,200,7e-05,3,,,,,,,,,,,,,,,,,,,,,
6.660806655883789,49.74,179200,1558,2,3,-0.5009499192237854,268,0.7445778250694275,0.0008194613425681988,7e-05,0.0057266825,0.08203125,0.1296463425581654,0.10481129586696625,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.036294937133789,45.6,181760,806,3,9,-0.487589640052695,271,0.7412548661231995,0.0023085916447534898,7e-05,0.010753066,0.13445723684210525,0.29872295606816024,0.2436874359846115,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.105617523193359,41.45,184320,604,4,16,-0.4843529234914219,275,0.617892861366272,0.0034419319400673404,7e-05,0.013995677,0.13177849264705882,0.10230006236473427,0.1693919152021408,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.108295440673828,40.0,186880,699,5,18,-0.4905237376689911,276,0.5168650150299072,0.019616548717021943,7e-05,0.010897992,0.1078125,0.1072533257305622,0.2250235378742218,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.370863437652588,39.44,189440,739,6,20,-0.4563557654619217,277,0.7073694467544556,0.005494539439678192,7e-05,0.006368411,0.0859375,0.10490616662427783,0.13150987029075623,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.197783946990967,43.34,192000,794,7,22,-0.49380245262926276,278,0.7185285091400146,0.007650914686647328,7e-05,0.004202554,0.05042613636363636,0.1354210532524369,0.34527093172073364,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.297533988952637,40.62,194560,816,8,25,-0.49355921149253845,279,0.7106770277023315,0.007384599807361762,7e-05,0.012888209,0.16354166666666667,0.10606295143564543,0.10712975263595581,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.384710311889648,38.09,197120,876,9,26,-0.5542396977543831,280,0.6873427629470825,0.003486183937638998,7e-05,0.008479691,0.103515625,0.14320422429591417,0.18803660571575165,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.500676155090332,34.95,199680,895,10,28,-0.47746713694773224,281,0.6206605434417725,0.004482905821580636,7e-05,0.005657195,0.08675986842105263,0.12255830553017165,0.1645936518907547,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.307078838348389,38.74,202240,781,11,36,-0.4228233720393891,286,0.5965638756752014,0.0002849604339992746,7e-05,0.0151613215,0.13272938829787234,0.058007443175116115,0.08604154735803604,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.122453689575195,40.04,204800,791,12,38,-0.4595533921605065,288,0.6000850200653076,0.007458798542973541,7e-05,0.038714424,0.11160714285714286,0.16062011481041,0.06483245640993118,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.236993789672852,39.31,207360,776,13,42,-0.4351786600380409,291,0.7538346648216248,0.0032393672253663948,7e-05,0.041881286,0.12137957317073171,0.13377794900500192,0.0785401463508606,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.329351902008057,38.98,209920,789,14,45,-0.4423597298917316,293,0.8037405610084534,0.003101087042263576,7e-05,0.032613054,0.12462797619047619,0.13568034972108545,0.0848635658621788,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
