time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/approx_kl,train/value_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates
2,640000,1,2086,0.24857421875,0.020211395,0.06387045740149916,0.6618730425834656,-0.9834822392463685,0.0003,0.2,-0.07086380571126938,-0.031109903445467352,1240
7,645120,2,1454,0.228359375,0.02296817,0.03866374312434345,0.7139557600021362,-0.9457474055886269,0.0003,0.2,-0.08218105882406235,-0.03510840181959793,1250
2,650240,1,1969,0.23505859375,0.020648524,0.03682805641554296,0.7224335074424744,-0.9708008173108101,0.0003,0.2,-0.09198813885450363,-0.03555898357648402,1260
7,655360,2,1305,0.2390625,0.02142018,0.04301485699601471,0.802400529384613,-0.9714756396412849,0.0003,0.2,-0.08965623378753662,-0.03275305704912171,1270
4,660480,1,1113,0.27021484375,0.024974674,0.020244488082826136,0.9202904105186462,-0.9495106407999993,0.0003,0.2,-0.10219333320856094,-0.04510714085074142,1280
11,665600,2,896,0.24345703125,0.023521923,0.03533716831821948,0.865617573261261,-0.947591207921505,0.0003,0.2,-0.08038454502820969,-0.0310851081344299,1290
3,670720,1,1377,0.24888671875,0.024865197,0.06612314495258033,0.8085145354270935,-0.9286688062548637,0.0003,0.2,-0.08615707606077194,-0.03134914163965732,1300
8,675840,2,1155,0.2658984375,0.024528472,0.10125109763816,0.6911738514900208,-0.9738988149166107,0.0003,0.2,-0.09229106456041336,-0.03212292014621198,1310
2,680960,1,1964,0.24064453125,0.022683186,0.06775027613621205,0.717629075050354,-0.9773560544848442,0.0003,0.2,-0.08465816080570221,-0.0349984649149701,1320
8,686080,2,1174,0.23357421875,0.022111306,0.039336041775532064,0.7928290963172913,-0.9783043766021728,0.0003,0.2,-0.10353127866983414,-0.038721537003293637,1330
2,691200,1,1745,0.25125,0.023463937,0.030112432851456105,0.8485080003738403,-0.9662968116998673,0.0003,0.2,-0.09854763001203537,-0.03676290590548888,1340
8,696320,2,1211,0.2426953125,0.023747144,0.06476129670627415,0.8401110768318176,-0.9860939413309098,0.0003,0.2,-0.0861712396144867,-0.0351733284513466,1350
3,701440,1,1612,0.2335546875,0.02104509,0.08097118617966771,0.8013176918029785,-0.9661050179600715,0.0003,0.2,-0.0892346203327179,-0.03236310873646289,1360
7,706560,2,1293,0.24134765625,0.023716627,0.041366977388970556,0.8145760893821716,-0.9840329301357269,0.0003,0.2,-0.10367216914892197,-0.03799036209937185,1370
3,711680,1,1503,0.23669921875,0.023298966,0.055994895971380174,0.7881081700325012,-0.9901277965307236,0.0003,0.2,-0.08536282181739807,-0.028542015319690108,1380
10,716800,2,954,0.2478125,0.02312495,0.037638972816057506,0.831504225730896,-1.0186122399568558,0.0003,0.2,-0.07287611067295074,-0.03413137398427352,1390
3,721920,1,1441,0.24673828125,0.020816278,0.06945338462479413,0.8073204755783081,-0.9984915038943291,0.0003,0.2,-0.09053719788789749,-0.03348660811316222,1400
10,727040,2,1001,0.24681640625,0.025168553,0.048907584026455876,0.8150912523269653,-1.0079195457696914,0.0003,0.2,-0.09937191754579544,-0.03410082193091512,1410
3,732160,1,1309,0.241484375,0.022375513,0.04896852137986571,0.8116509914398193,-0.984811814725399,0.0003,0.2,-0.07685580104589462,-0.03127913336735219,1420
10,737280,2,980,0.2609765625,0.026263231,0.020221988260746,0.8492329716682434,-0.9861284092068672,0.0003,0.2,-0.09673356264829636,-0.039649845007807015,1430
3,742400,1,1365,0.2163671875,0.019336373,0.04858432151377201,0.7962299585342407,-0.98438647210598,0.0003,0.2,-0.09443268924951553,-0.029868797059170903,1440
10,747520,2,968,0.24240234375,0.023806863,0.03305587304290384,0.8153076171875,-0.9924031192064285,0.0003,0.2,-0.09940503537654877,-0.032083619830664246,1450
2,752640,1,1832,0.23556640625,0.023838857,0.049595173220150175,0.7377861738204956,-0.9751809445023537,0.0003,0.2,-0.09284175932407379,-0.03353012095671147,1460
8,757760,2,1258,0.2592578125,0.02503075,0.021380179654806854,0.859750509262085,-0.9872519993782043,0.0003,0.2,-0.10905199497938156,-0.04343258292414248,1470
3,762880,1,1391,0.26298828125,0.023802917,0.030771597982384265,0.8185078501701355,-0.9786583119630814,0.0003,0.2,-0.10526743531227112,-0.04049419106217101,1480
10,768000,2,1021,0.236015625,0.023547532,0.05547861497849226,0.7953459620475769,-0.9889440599083901,0.0003,0.2,-0.09483790397644043,-0.03487009348813444,1490
2,773120,1,2000,0.246953125,0.02502574,0.05832698540762067,0.7113529443740845,-0.9879753369092942,0.0003,0.2,-0.0979895070195198,-0.032951090136775746,1500
7,778240,2,1429,0.24375,0.023144592,0.029433128186501564,0.8701145052909851,-1.0039072665572166,0.0003,0.2,-0.10750056058168411,-0.03887208764906973,1510
3,783360,1,1688,0.23935546875,0.021568138,0.0323766573285684,0.8288554549217224,-0.9804236125946045,0.0003,0.2,-0.08804105222225189,-0.028424948421306908,1520
8,788480,2,1192,0.2302734375,0.022174042,0.05217030277475715,0.7290490865707397,-0.987678653895855,0.0003,0.2,-0.0811273381114006,-0.03127962411846966,1530
3,793600,1,1365,0.2454296875,0.02259091,0.031247641160152852,0.8594774007797241,-0.984661905169487,0.0003,0.2,-0.08867815881967545,-0.03469557909062132,1540
10,798720,2,991,0.25814453125,0.02390707,0.04713696989230812,0.8546531200408936,-0.9627366003394127,0.0003,0.2,-0.08562488108873367,-0.0353742878139019,1550
2,803840,1,2050,0.2351171875,0.023006395,0.05574366903863847,0.7097254395484924,-0.984190759062767,0.0003,0.2,-0.09694227576255798,-0.0337339989701286,1560
7,808960,2,1388,0.257578125,0.025166595,0.044353764704428617,0.6844901442527771,-0.9735954973101616,0.0003,0.2,-0.10040118545293808,-0.03494397637899965,1570
2,814080,1,2103,0.25275390625,0.024541901,0.043272453038953246,0.7538489699363708,-0.9950427657365799,0.0003,0.2,-0.10679331421852112,-0.036064284713938834,1580
7,819200,2,1440,0.2592578125,0.0247025,0.03972916142549366,0.7868372201919556,-1.0017776191234589,0.0003,0.2,-0.09680721163749695,-0.03493198180105537,1590
2,824320,1,2154,0.2672265625,0.025626153,0.03952258357778191,0.7766010761260986,-0.9911519712209702,0.0003,0.2,-0.08523834496736526,-0.03488720709690824,1600
6,829440,2,1498,0.24978515625,0.025140181,0.036498138019815086,0.7917300462722778,-0.9961417424678802,0.0003,0.2,-0.10906673222780228,-0.035935029950924215,1610
2,834560,1,1816,0.2375,0.023550924,0.04434605851303786,0.7891960144042969,-0.9834291326999665,0.0003,0.2,-0.0946945771574974,-0.042194606096018106,1620
7,839680,2,1322,0.2423046875,0.024587583,0.05684246135875583,0.7686680555343628,-0.9886047571897507,0.0003,0.2,-0.08524336665868759,-0.033999984932597725,1630
