time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss
40,614400,1255,10,0.025372777,0.23396484375,0.07791632413864136,-0.09589267522096634,0.06581375578418375,1190,0.0003,0.2,-0.04220924831926823,-0.8837272962927818
2,619520,2227,1,0.023251764,0.22201171875,0.0655246376991272,-0.0836159810423851,0.07313724407926202,1200,0.0003,0.2,-0.03897748338757083,-0.8880633434653282
6,624640,1527,2,0.025684621,0.2350390625,-0.009564399719238281,-0.09959358721971512,0.06933219859376549,1210,0.0003,0.2,-0.03963019629823975,-0.9101602771878242
10,629760,1407,3,0.025443647,0.2272265625,-0.09130549430847168,-0.08221541345119476,0.07963953654281795,1220,0.0003,0.2,-0.037878874065354465,-0.8940993058681488
15,634880,1349,4,0.025749693,0.2391015625,0.04387694597244263,-0.07309797406196594,0.07004373618401587,1230,0.0003,0.2,-0.04252767759840936,-0.9224708101153374
19,640000,1311,5,0.024992721,0.2276953125,0.31644338369369507,-0.099913090467453,0.07215945463627577,1240,0.0003,0.2,-0.038470249995589255,-0.8872888621687889
23,645120,1291,6,0.022849318,0.21814453125,0.21897733211517334,-0.1109902560710907,0.0663713888078928,1250,0.0003,0.2,-0.039403268764726815,-0.915375002026558
28,650240,1271,7,0.02626728,0.2265234375,0.23137688636779785,-0.09121838957071304,0.05800417131744325,1260,0.0003,0.2,-0.04489217448281124,-0.9048526898026467
32,655360,1257,8,0.024595108,0.22841796875,0.13799184560775757,-0.09348343312740326,0.06388895611278712,1270,0.0003,0.2,-0.04166985802585259,-0.919516294002533
37,660480,1244,9,0.025819272,0.25189453125,0.3006465435028076,-0.08220137655735016,0.059382090829312804,1280,0.0003,0.2,-0.04095918042585254,-0.9361278435587883
41,665600,1236,10,0.026207674,0.24396484375,0.25142884254455566,-0.09460299462080002,0.06801454558037222,1290,0.0003,0.2,-0.04375377493677661,-0.919487202167511
2,670720,2161,1,0.028493026,0.23947265625,0.32023054361343384,-0.09587336331605911,0.07243167767301202,1300,0.0003,0.2,-0.044697646242566405,-0.9067438641190528
6,675840,1493,2,0.02524142,0.241171875,0.4187008738517761,-0.10143855214118958,0.05990046097896993,1310,0.0003,0.2,-0.043108876852784306,-0.9203271874785424
11,680960,1378,3,0.025951501,0.2533203125,0.2287096381187439,-0.09097892045974731,0.07192419403232635,1320,0.0003,0.2,-0.044652471069712193,-0.9035995569825173
15,686080,1331,4,0.029068667,0.26478515625,0.17891448736190796,-0.09807596355676651,0.08453049928881227,1330,0.0003,0.2,-0.043259905893355606,-0.8908294034004212
19,691200,1281,5,0.025509238,0.2434375,0.39176154136657715,-0.10430527478456497,0.06849665123037994,1340,0.0003,0.2,-0.0423869597306475,-0.9240207690000534
24,696320,1262,6,0.027424652,0.2390625,-0.14335179328918457,-0.09484975039958954,0.09459859393537044,1350,0.0003,0.2,-0.04365071701817214,-0.9250634303689003
28,701440,1259,7,0.027108286,0.2478125,0.16414707899093628,-0.08955278992652893,0.06872024105861783,1360,0.0003,0.2,-0.040638257837854325,-0.8976046973466874
32,706560,1252,8,0.027104247,0.24228515625,0.2929726243019104,-0.09404037147760391,0.07616322746500373,1370,0.0003,0.2,-0.03922664641868323,-0.882663588821888
36,711680,1250,9,0.02631171,0.249140625,0.33834344148635864,-0.11026794463396072,0.06303464732132852,1380,0.0003,0.2,-0.041099768877029416,-0.9139520579576492
41,716800,1246,10,0.026152939,0.23923828125,0.30044490098953247,-0.08403866738080978,0.08126370043493808,1390,0.0003,0.2,-0.03577077313326299,-0.8860163778066635
2,721920,2103,1,0.02505214,0.23041015625,0.43812161684036255,-0.10337335616350174,0.0780466970615089,1400,0.0003,0.2,-0.0426188452122733,-0.9009721770882606
7,727040,1375,2,0.026370913,0.246875,0.31601327657699585,-0.08365248888731003,0.06294587447308003,1410,0.0003,0.2,-0.0397017503157258,-0.9168061518669128
12,732160,1251,3,0.02477083,0.251171875,0.35538601875305176,-0.09459438174962997,0.07237238617613911,1420,0.0003,0.2,-0.04220786402933299,-0.9209711575508117
17,737280,1187,4,0.026696116,0.23517578125,0.3106291890144348,-0.08689536899328232,0.07947180464863778,1430,0.0003,0.2,-0.03847125708591193,-0.8952633339166641
21,742400,1178,5,0.028327882,0.24814453125,0.4961378574371338,-0.1096227839589119,0.06021871882490814,1440,0.0003,0.2,-0.04632264847168699,-0.9088920801877975
25,747520,1186,6,0.027494034,0.2487109375,0.31349045038223267,-0.10003115236759186,0.06772604492492974,1450,0.0003,0.2,-0.04433915875852108,-0.9067430445551872
30,752640,1159,7,0.02861306,0.26216796875,0.2685126066207886,-0.10140267014503479,0.07226747719570994,1460,0.0003,0.2,-0.04487020069733262,-0.8882459744811058
36,757760,1134,8,0.028901149,0.25728515625,0.2880086898803711,-0.10353270173072815,0.05953047873452306,1470,0.0003,0.2,-0.043641211190260945,-0.9008915147185326
42,762880,1086,9,0.026818287,0.257109375,0.05654257535934448,-0.0922919437289238,0.06633588172495365,1480,0.0003,0.2,-0.043273877126630396,-0.898426530957222
48,768000,1062,10,0.027292758,0.2601171875,0.17749351263046265,-0.08791004121303558,0.06657882560044527,1490,0.0003,0.2,-0.041906966478563845,-0.8861132976412773
3,773120,1577,1,0.02907812,0.26845703125,0.12657541036605835,-0.10606455057859421,0.06542661292478442,1500,0.0003,0.2,-0.04806250137393363,-0.9060931581258774
9,778240,1097,2,0.027430337,0.2615234375,-0.04243874549865723,-0.09578815847635269,0.06640183151699602,1510,0.0003,0.2,-0.04560385157819837,-0.8753866448998451
15,783360,999,3,0.028096577,0.26017578125,-0.10971784591674805,-0.11044500023126602,0.07900667580775916,1520,0.0003,0.2,-0.04481274110265076,-0.8904873603582382
21,788480,959,4,0.030517405,0.2587890625,0.14588409662246704,-0.09616836160421371,0.07268168020062149,1530,0.0003,0.2,-0.042646219399757684,-0.8761867111921311
27,793600,928,5,0.029835636,0.2721875,-0.02474236488342285,-0.09948071837425232,0.09495219675824046,1540,0.0003,0.2,-0.04306758654071018,-0.8851635470986366
33,798720,918,6,0.030802673,0.27150390625,0.1717280149459839,-0.0910041481256485,0.08691128464415669,1550,0.0003,0.2,-0.04842453113757074,-0.9020416054129601
39,803840,911,7,0.02841742,0.27830078125,0.2667166590690613,-0.10611823201179504,0.059909250512719156,1560,0.0003,0.2,-0.04617296942975372,-0.9167504432797432
45,808960,902,8,0.03111701,0.280546875,0.2793850898742676,-0.09769509732723236,0.07519870948977768,1570,0.0003,0.2,-0.04684153583366424,-0.9122591224312783
51,814080,901,9,0.031469584,0.27107421875,0.3247675895690918,-0.11134089529514313,0.06141351730562747,1580,0.0003,0.2,-0.04582010861951858,-0.9250300115346909
56,819200,909,10,0.033477105,0.27857421875,0.2821282148361206,-0.09845180064439774,0.06786844091489912,1590,0.0003,0.2,-0.046516890060156586,-0.9088303229212761
