time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,curriculum/stage,train/stage_learning_rate,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/explained_variance,curriculum/stage_timesteps,train/entropy_loss,train/n_updates,train/clip_fraction,curriculum/max_steps,curriculum/grid_size,train/policy_gradient_loss,train/ent_coef,curriculum/obs_quantity,eval/stage_timesteps,eval/mean_ep_length,eval/mean_reward,eval/full_coverage_rate,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length
419840,10,127.11,36,1416,6.826958179473877,0.30582955479621887,,,0.0001,0.2,0.005459606,0.6412228012084961,0.6214625835418701,,-0.30077975034713744,405,0.0626171875,,,-0.0024713993817567824,,,,,,,,,,
,,,,,,0.1767965853214264,,,0.0001,0.2,0.0035735525,0.4342044022679329,0.7351604700088501,,-0.30832812041044233,410,0.048125,,,-0.0021374343149363996,,,204800,120.13,6.896294929981232,0.93,2,2.3136354576296143,0,67.97700419994985
424960,1,125.62,2,1826,6.847046375274658,,2,0.0001,,,,,,204800,,,,320,8,,0.006221333333333334,8,,,,,,,,
430080,2,117.94,6,1468,7.114867687225342,0.2264709174633026,,,0.0001,0.2,0.005672478,0.5477778422832489,0.7276155948638916,,-0.27533996775746344,415,0.0553515625,,,-0.003116690358147025,,,,,,,,,,
435200,3,119.15,10,1410,7.036479949951172,0.2053067535161972,,,0.0001,0.2,0.005597661,0.42321541279554364,0.5248897671699524,,-0.24996584936976432,420,0.053203125,,,-0.00037364854011684656,,,,,,,,,,
440320,4,114.02,14,1382,7.095430850982666,0.17434372007846832,,,0.0001,0.2,0.006508374,0.4100364962220192,0.6438853740692139,,-0.27027311295270917,425,0.060703125,,,-0.002991405711509287,,,,,,,,,,
445440,5,110.27,18,1362,7.2566142082214355,0.12680061161518097,,,0.0001,0.2,0.004647501,0.35724452406167984,0.5559812784194946,,-0.261427011936903,430,0.0430859375,,,-0.002743531330488622,,,,,,,,,,
450560,6,115.28,22,1345,7.091276168823242,0.16018187999725342,,,0.0001,0.2,0.009068771,0.3699754872918129,0.5914739370346069,,-0.25706943199038507,435,0.0591015625,,,-0.0034341008635237814,,,,,,,,,,
455680,7,109.28,26,1341,7.2776594161987305,0.15211674571037292,,,0.0001,0.2,0.0070504732,0.27262976378202436,0.7844219207763672,,-0.3020468482375145,440,0.0593359375,,,-0.0018231024406850339,,,,,,,,,,
460800,8,99.24,30,1338,7.557718276977539,0.09970233589410782,,,0.0001,0.2,0.0062218597,0.2767503045499325,0.7031991481781006,,-0.25750722527503966,445,0.0576171875,,,-0.001021766415797174,,,,,,,,,,
465920,9,102.7,34,1336,7.353899002075195,0.14450369775295258,,,0.0001,0.2,0.004336565,0.3466027657687664,0.5656599998474121,,-0.26071158349514006,450,0.0471484375,,,-0.0036423471570014953,,,,,,,,,,
471040,10,115.7,38,1336,7.032706260681152,0.13673162460327148,,,0.0001,0.2,0.0073123924,0.3471970635652542,0.6932355165481567,,-0.3096985507011414,455,0.0683203125,,,-0.00199867109535262,,,,,,,,,,
,,,,,,0.2023346722126007,,,0.0001,0.2,0.004860307,0.389901121109724,0.7139464020729065,,-0.2970493745803833,460,0.043359375,,,-0.0007398891821503639,,,256000,111.19,7.273324127197266,0.97,2,1.4762437058415943,0,52.768682947369456
,,,,,,,,,,,,,,,,,,,,,,,256000,114.22,6.928684507310391,0.92,2,2.3535890861233995,0,65.86586065633698
476160,1,127.13,2,1883,6.6853437423706055,,2,0.0001,,,,,,256000,,,,320,8,,0.006026666666666666,8,,,,,,,,
481280,2,127.29,6,1497,6.811612129211426,0.16278788447380066,,,0.0001,0.2,0.007881244,0.42942472189664843,0.6929639577865601,,-0.2860997249186039,465,0.0562890625,,,-0.0008732397621497512,,,,,,,,,,
486400,3,123.92,10,1433,6.911240100860596,0.23549340665340424,,,0.0001,0.2,0.006634579,0.5122677382826805,0.628711462020874,,-0.3061147430539131,470,0.0676953125,,,-0.0016845363937318324,,,,,,,,,,
491520,4,118.46,14,1404,7.037961006164551,0.2093050330877304,,,0.0001,0.2,0.0048221494,0.4600504076480865,0.6699270009994507,,-0.2758557943999767,475,0.0544140625,,,-0.0017420352855697274,,,,,,,,,,
