time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,curriculum/max_steps,train/ent_coef,train/learning_rate,curriculum/stage_timesteps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,curriculum/grid_size,curriculum/obs_quantity,train/n_updates,curriculum/stage,train/clip_fraction,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/deterministic,eval/std_reward,eval/mean_reward
10,7.460795879364014,1070,261120,32.68,47,0.01883586496114731,0.645067572593689,,,0.0001,,-0.20571673095226287,0.0066832127,-0.0027575842896476388,0.06742065474390983,0.2,,,250,,0.0582421875,,,,,,,,
,,,,,,0.035260602831840515,0.7326176762580872,,,0.0001,,-0.2171441362798214,0.0064175352,-0.0005816006194800139,0.08212728727608919,0.2,,,255,,0.0488671875,0.82,57.48,256000,1,66.85813039563699,1,4.54878207222058,5.543886499404907
1,7.461551666259766,1666,266240,32.61,3,,,200,0.0010000000000000009,,256000,,,,,,5,3,,1,,,,,,,,,
2,7.554113864898682,1262,271360,31.64,8,0.03507864475250244,0.7323135137557983,,,0.0001,,-0.20990361958742143,0.0033508278,-0.0018499146588146686,0.09090798612684012,0.2,,,260,,0.036640625,,,,,,,,
3,7.391085624694824,1178,276480,34.99,13,0.0391160286962986,0.7128656506538391,,,0.0001,,-0.20980364054441453,0.0073419614,-0.0033801671490073203,0.06917534559965134,0.2,,,265,,0.05984375,,,,,,,,
4,7.561909198760986,1155,281600,31.36,17,0.03533942624926567,0.7525358200073242,,,0.0001,,-0.22791899800300597,0.0061364644,-0.003445681440643966,0.0860932657122612,0.2,,,270,,0.051640625,,,,,,,,
5,7.619943618774414,1135,286720,29.1,22,0.023987747728824615,0.711663544178009,,,0.0001,,-0.21570210680365562,0.0064793406,-0.003911772784776986,0.07047542851418256,0.2,,,275,,0.0562890625,,,,,,,,
6,7.397976875305176,1119,291840,32.6,27,0.028123341500759125,0.4756890535354614,,,0.0001,,-0.1868378384411335,0.0073755807,-0.0014140388183295728,0.048868447355926034,0.2,,,280,,0.0467578125,,,,,,,,
7,7.482943534851074,1109,296960,32.22,32,0.01847916841506958,0.7160309553146362,,,0.0001,,-0.2150288528203964,0.004313083,0.00016419733408838512,0.053389318399131296,0.2,,,285,,0.0541796875,,,,,,,,
8,7.582977294921875,1103,302080,30.44,37,0.03517873212695122,0.7458938360214233,,,0.0001,,-0.20703441113233567,0.0043078642,-0.00031186474952846763,0.07571615222841502,0.2,,,290,,0.0438671875,,,,,,,,
9,7.6073126792907715,1116,307200,29.47,41,0.031927578151226044,0.7236331701278687,,,0.0001,,-0.20599865153431893,0.006070795,-0.0016983923502266406,0.06204816848039627,0.2,,,295,,0.0487890625,,,,,,,,
10,7.497091293334961,1136,312320,31.12,45,0.0358695387840271,0.7455446720123291,,,0.0001,,-0.19933226719498634,0.0075240904,-0.0032569753378629686,0.07734467305243015,0.2,,,300,,0.0540625,,,,,,,,
