time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/stage_learning_rate,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,curriculum/preferred_eval_mode,train/ent_coef,curriculum/obs_quantity,curriculum/max_steps,plasticity/total_weight_units,plasticity/low_weight_units,plasticity/weight_rms,plasticity/weight_max_abs,plasticity/low_weight_unit_ratio,plasticity/weight_abs_mean,plasticity/effective_rank_99_mean,plasticity/effective_rank_99_normalized_mean,eval/full_coverage_rate,eval/deterministic,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/mean_reward,eval/mean_ep_length,eval/std_reward,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/stochastic_quality_passed,eval/quality_promotion_passed,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/promotion_passed,eval/deterministic_promotion_floor
167,5,103.56,152,-0.6824503540992737,250880,7e-05,0.08,0.0029448413,0.2109375,384,0.5338125228881836,0.7084153890609741,-1.1084845025092362,-0.0003469625502475537,1.8840506192529574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.003437917,0.18623046875,392,0.6285222768783569,0.49792683124542236,-1.113429084047675,-0.0008087874652119353,1.5466217253357173,,,,,,,,,1925,17,0.020857842309070448,0.9757344126701355,0.008831168831168832,0.00878983289501309,119.41666666666667,0.8895399305555555,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0,230400,1,49.37780371786497,0.5657848751917481,91.65,5.2493140279403026,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1,230400,1,68.3208723597701,-1.617862766981125,162.72,6.764089267795183,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230400,1,,,,,0.23,6.75,0,0,0,0.91,0,45.0,0.91,0.91,0.68,0,0.6649999999999999
1,1,100.83,2662,-0.2946355640888214,256000,,,,,,,,,,,7e-05,5,230400,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,89.76,237,0.4560970067977905,261120,7e-05,0.08,0.001467095,0.1380126953125,400,0.5971757173538208,0.7960445880889893,-1.1012083679437636,-0.001036715855298098,2.086372561287135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,3,89.77,184,1.025678038597107,266240,7e-05,0.08,0.002235188,0.1426513671875,408,0.6611813902854919,1.5893445014953613,-1.0922592528164388,-0.001042972257710062,2.2872157357633114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,4,88.02,167,0.8568350076675415,271360,7e-05,0.08,0.0017367875,0.13505859375,416,0.6267424821853638,0.26188427209854126,-1.0918696628883482,-0.00019912970601581036,2.2039343239739537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,5,93.76,160,0.2902560532093048,276480,7e-05,0.08,0.0014920924,0.156201171875,424,0.7245413064956665,0.4347670376300812,-1.0929872388020159,-0.0005445870032417588,2.011965419689659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.0018181691,0.151904296875,432,0.6650422811508179,1.1470599174499512,-1.092199195921421,-0.0011188448246684858,2.0119250328745695,,,,,,,,,1925,21,0.019811622188497215,0.984153151512146,0.01090909090909091,0.008109594569119373,115.08333333333333,0.8716362847222222,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0,256000,1,43.64707894006196,1.3535999377816916,83.35,4.485157123629438,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,256000,1,82.74401247220248,0.30433432340621946,125.22,8.30245253688168,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256000,1,,,,,0.45,6.75,0,0,0,0.93,0,45.0,0.93,0.93,0.48000000000000004,0,0.6649999999999999
