time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_range,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction
2,1952,773120,1,0.2,-0.008773110806941986,0.022974443,0.3904402256011963,0.0003,1500,-0.5787228351831436,-0.03313139110570774,0.1277566011250019,0.19865234375
7,1381,778240,2,0.2,-0.038934238255023956,0.02909623,0.5037492513656616,0.0003,1510,-0.5501942786574364,-0.03537970579229295,0.11268827935680747,0.20150390625
12,1273,783360,3,0.2,-0.028041783720254898,0.02912924,0.2686218023300171,0.0003,1520,-0.5144430826604366,-0.03227170896017924,0.12114168584346771,0.19080078125
16,1223,788480,4,0.2,-0.04824310168623924,0.030407723,0.3414037823677063,0.0003,1530,-0.5586991336941719,-0.0376489658979699,0.0977740471996367,0.2106640625
21,1186,793600,5,0.2,-0.040199220180511475,0.03202505,0.31807321310043335,0.0003,1540,-0.5517224660515785,-0.03350268131121993,0.12478968814015388,0.21744140625
26,1159,798720,6,0.2,-0.03983784094452858,0.037001066,0.1687280535697937,0.0003,1550,-0.5386629578471184,-0.034904231573455034,0.11101992283016443,0.221484375
31,1145,803840,7,0.2,-0.03849664330482483,0.030255804,0.3335879445075989,0.0003,1560,-0.5428379188477993,-0.03398073066025972,0.10329884577542543,0.209609375
36,1130,808960,8,0.2,-0.02301407791674137,0.030681446,0.3358834981918335,0.0003,1570,-0.49318821504712107,-0.03007361349184066,0.09614803224802017,0.19896484375
40,1125,814080,9,0.2,-0.026637911796569824,0.0254743,0.24368023872375488,0.0003,1580,-0.5279660977423191,-0.033646569491829724,0.13387555673718451,0.19640625
45,1119,819200,10,0.2,-0.05341414362192154,0.029366579,0.36101818084716797,0.0003,1590,-0.5253719075024128,-0.03673564061755315,0.1062602916173637,0.19888671875
2,1868,824320,1,0.2,-0.032313019037246704,0.031384513,0.4974766969680786,0.0003,1600,-0.5078376893699169,-0.03549349134322256,0.12468147441744805,0.19806640625
7,1338,829440,2,0.2,-0.02571980282664299,0.029055214,0.6291595697402954,0.0003,1610,-0.5199278642237186,-0.03340068340767175,0.11398945400491357,0.191953125
12,1217,834560,3,0.2,-0.036046840250492096,0.029241484,0.5756397247314453,0.0003,1620,-0.5363878200948239,-0.02806613405700773,0.155091009773314,0.19794921875
17,1185,839680,4,0.2,-0.03574395179748535,0.02536923,0.6891865730285645,0.0003,1630,-0.5184755106270313,-0.03167420687852427,0.11385833822190762,0.18140625
22,1160,844800,5,0.2,-0.01606477051973343,0.023360105,0.7680215835571289,0.0003,1640,-0.5259906275570393,-0.02913091708905995,0.14975418062880635,0.1816796875
26,1141,849920,6,0.2,-0.01686166226863861,0.03229267,0.5728286504745483,0.0003,1650,-0.5180979453027248,-0.03459622541209683,0.16476852366700767,0.20353515625
31,1127,855040,7,0.2,-0.03434508666396141,0.03018633,0.45557737350463867,0.0003,1660,-0.5059189149737358,-0.03242485478520393,0.12880147567018865,0.19779296875
36,1111,860160,8,0.2,-0.017596907913684845,0.027425986,0.3103978633880615,0.0003,1670,-0.5310852563381195,-0.03624148201197386,0.13318835865706205,0.19689453125
41,1098,865280,9,0.2,-0.04530717805027962,0.032072425,0.16461193561553955,0.0003,1680,-0.5435458903014659,-0.03287782428320497,0.1369242510944605,0.2086328125
47,1074,870400,10,0.2,-0.030621856451034546,0.03131221,0.27473926544189453,0.0003,1690,-0.5963361203670502,-0.03772352333413437,0.14177343161776662,0.2291015625
2,1813,875520,1,0.2,-0.016486380249261856,0.03011248,0.14444702863693237,0.0003,1700,-0.5638272143900395,-0.03196495872922242,0.12948259761556982,0.2051171875
8,1264,880640,2,0.2,-0.03862619400024414,0.034945972,0.2468453049659729,0.0003,1710,-0.6275771629810333,-0.039688659703824666,0.11803668091073632,0.24197265625
12,1264,885760,3,0.2,-0.04583045467734337,0.033161104,0.22074252367019653,0.0003,1720,-0.6095166012644768,-0.03778772454010323,0.11715766308829188,0.2349609375
16,1249,890880,4,0.2,-0.029022593051195145,0.029779717,0.3271845579147339,0.0003,1730,-0.612587814629078,-0.03738297713920474,0.11213723734021187,0.2235546875
22,1160,896000,5,0.2,-0.04251769930124283,0.032072715,0.36772143840789795,0.0003,1740,-0.6031757318973541,-0.03405560889746994,0.12425503626465798,0.2315625
27,1127,901120,6,0.2,-0.04587036371231079,0.030975122,0.5142209529876709,0.0003,1750,-0.6262937048077584,-0.03743676994694397,0.14502230331301688,0.2277734375
32,1087,906240,7,0.2,-0.031017594039440155,0.034582864,0.3881171941757202,0.0003,1760,-0.5857709783315659,-0.036221246374771,0.12688747501000763,0.2275390625
37,1088,911360,8,0.2,-0.03144889324903488,0.030381858,0.49908190965652466,0.0003,1770,-0.585698871910572,-0.03510570991085842,0.1292176647298038,0.2172265625
42,1075,916480,9,0.2,-0.036384303122758865,0.034343235,0.4067228436470032,0.0003,1780,-0.6058050808310509,-0.03825649729464203,0.11324619650840759,0.2305859375
49,1043,921600,10,0.2,-0.03403665870428085,0.034284107,0.4410298466682434,0.0003,1790,-0.6258869978785515,-0.038315829746425153,0.13201487146317958,0.23349609375
2,2027,926720,1,0.2,-0.03956826776266098,0.03033195,0.278118371963501,0.0003,1800,-0.5930147323012352,-0.03520161827094853,0.1075616080313921,0.22927734375
7,1411,931840,2,0.2,-0.04159725457429886,0.03261979,0.23942255973815918,0.0003,1810,-0.6026207903027534,-0.037058952825609594,0.11579077221453189,0.21287109375
11,1310,936960,3,0.2,-0.02303776890039444,0.030390251,0.3572908639907837,0.0003,1820,-0.5611930641531945,-0.03799717442132532,0.112290628105402,0.23525390625
16,1259,942080,4,0.2,-0.0277748741209507,0.03681964,0.3945138454437256,0.0003,1830,-0.5917852556705475,-0.03728189125657082,0.14420728363096713,0.23740234375
20,1232,947200,5,0.2,-0.032696664333343506,0.028911814,0.5635699033737183,0.0003,1840,-0.5571092960238456,-0.033462593895383176,0.12750825395807625,0.21294921875
25,1217,952320,6,0.2,-0.022302087396383286,0.032801263,0.5581080913543701,0.0003,1850,-0.5645196908712387,-0.033951189443469046,0.12028798725456,0.22974609375
29,1204,957440,7,0.2,-0.038250841200351715,0.031866275,0.45940321683883667,0.0003,1860,-0.5685091561079025,-0.03583215408492833,0.09259279457852244,0.22509765625
34,1190,962560,8,0.2,-0.03801066055893898,0.028319139,0.6715572476387024,0.0003,1870,-0.6128487712144852,-0.04068340275902301,0.13793122187256812,0.231484375
38,1184,967680,9,0.2,-0.024745382368564606,0.02850331,0.5576783418655396,0.0003,1880,-0.5771123230457306,-0.03256791092688218,0.153154858648777,0.21705078125
43,1173,972800,10,0.2,-0.029836222529411316,0.034820165,0.6029894351959229,0.0003,1890,-0.5931858876347542,-0.03502166135469451,0.14124230928719045,0.23404296875
2,1889,977920,1,0.2,-0.040040116757154465,0.036491502,0.3824036121368408,0.0003,1900,-0.5565691804885864,-0.03628912964370102,0.10749690571799875,0.21927734375
7,1376,983040,2,0.2,-0.029689069837331772,0.03307349,0.3158886432647705,0.0003,1910,-0.5856027376651763,-0.03990919461473823,0.14100647799670696,0.2205859375
12,1279,988160,3,0.2,-0.02285422384738922,0.035703905,0.26152491569519043,0.0003,1920,-0.6093554458022118,-0.03514461424667388,0.13230227587744595,0.23427734375
16,1227,993280,4,0.2,-0.047032684087753296,0.039048165,0.08325725793838501,0.0003,1930,-0.635594824552536,-0.041219138097949325,0.1180616963841021,0.24953125
21,1181,998400,5,0.2,-0.05176752060651779,0.036659487,0.14659273624420166,0.0003,1940,-0.6459934422373772,-0.04125460999552161,0.1001231293193996,0.24759765625
26,1169,1003520,6,0.2,-0.06272565573453903,0.036231507,0.3458210825920105,0.0003,1950,-0.6091920787096023,-0.04015498568071053,0.09580835212022067,0.24748046875
31,1151,1008640,7,0.2,-0.02290981635451317,0.036848832,0.2656443119049072,0.0003,1960,-0.6105381813645363,-0.03884230894036591,0.1294026441127062,0.23396484375
35,1147,1013760,8,0.2,-0.04230952262878418,0.0316915,0.5403292179107666,0.0003,1970,-0.6365916436910629,-0.039476242777891454,0.10672958545386792,0.23953125
40,1135,1018880,9,0.2,-0.0401918888092041,0.0335318,0.615390419960022,0.0003,1980,-0.6356711453199386,-0.03915391881717369,0.13094351563602685,0.234765625
45,1128,1024000,10,0.2,-0.0328977033495903,0.03311813,0.6330516338348389,0.0003,1990,-0.6350801345705986,-0.03975170273566619,0.16781413462013006,0.23353515625
2,1798,1029120,1,0.2,-0.03787178546190262,0.037034072,0.3857429623603821,0.0003,2000,-0.5994292655587197,-0.0396156191593036,0.15686124041676522,0.24625
