time/time_elapsed,time/iterations,curriculum/grid_size,curriculum/stage,rollout/ep_rew_mean,time/total_timesteps,curriculum/obs_quantity,curriculum/stage_timesteps,train/ent_coef,rollout/ep_len_mean,time/fps,curriculum/max_steps,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/clip_fraction,eval/stage,eval/full_coverage_rate,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/std_ep_length,eval/std_reward,eval/stage_timesteps
37,9,,,7.647934436798096,1786880,,,,88.3,1218,,1740,0.0001,0.3860524249076843,-0.0031192367896437645,0.1686830073595047,0.7380170226097107,0.006818159,0.2,-0.16891504019498826,0.0449609375,,,,,,,,
41,10,,,7.629942417144775,1792000,,,,89.61,1221,,1745,0.0001,0.29244134172797204,-0.0029097212152555587,0.1481451839208603,0.6805357933044434,0.004914972,0.2,-0.15474712625145912,0.038515625,,,,,,,,
,,,,,,,,,,,,1750,0.0001,0.381655081063509,-0.0031951272627338766,0.14466306567192078,0.6787475347518921,0.006248363,0.2,-0.198772464543581,0.0348828125,2,0.78,5.6227029234170915,136.99,1,102.8131796026171,3.9120992012578135,921600
3,1,8,2,7.576160907745361,1797120,8,921600,0.001,93.49,1469,320,,,,,,,,,,,,,,,,,,
7,2,,,7.421880722045898,1802240,,,,96.14,1330,,1755,0.0001,0.3800340762734413,-0.002285000290721655,0.22061192989349365,0.648209810256958,0.003226915,0.2,-0.1828639367222786,0.0354296875,,,,,,,,
11,3,,,7.349040508270264,1807360,,,,97.53,1308,,1760,0.0001,0.35985180497169494,-0.0034878373239189387,0.1717042326927185,0.6960859894752502,0.0065742424,0.2,-0.24290531620383263,0.0663671875,,,,,,,,
16,4,,,7.598752498626709,1812480,,,,87.51,1273,,1765,0.0001,0.31981408715248105,-0.0031240675086155532,0.1443907469511032,0.6924049854278564,0.004364154,0.2,-0.16852787397801877,0.0380078125,,,,,,,,
20,5,,,7.614861965179443,1817600,,,,86.28,1270,,1770,0.0001,0.2957694220542908,-0.004038160941563547,0.17863129079341888,0.619436502456665,0.004086614,0.2,-0.16241274274885653,0.0387109375,,,,,,,,
24,6,,,7.452983379364014,1822720,,,,89.81,1260,,1775,0.0001,0.26883240789175034,-0.0039236223185434935,0.11289101094007492,0.6022384762763977,0.006819967,0.2,-0.14207105584442614,0.045234375,,,,,,,,
28,7,,,7.384439468383789,1827840,,,,89.19,1265,,1780,0.0001,0.20085250318050385,-0.0025550496485084295,0.08104366064071655,0.751063346862793,0.0047909366,0.2,-0.17072294160723686,0.044296875,,,,,,,,
32,8,,,7.544711112976074,1832960,,,,90.51,1267,,1785,0.0001,0.1888577149808407,-0.0013494769902899861,0.08310223370790482,0.6865445375442505,0.008117666,0.2,-0.1204982977360487,0.0364453125,,,,,,,,
36,9,,,7.538874626159668,1838080,,,,91.52,1270,,1790,0.0001,0.20845651790499686,-0.0012283594789914787,0.09565512835979462,0.6229974031448364,0.0055048084,0.2,-0.1448211608827114,0.039296875,,,,,,,,
40,10,,,7.456881523132324,1843200,,,,89.31,1272,,1795,0.0001,0.18944031730294228,-0.001739188702777028,0.08483881503343582,0.6477361917495728,0.008682283,0.2,-0.13210189186036586,0.0425390625,,,,,,,,
,,,,,,,,,,,,1800,0.0001,0.15022558674216271,-0.003020387040451169,0.06026577576994896,0.7924880981445312,0.005613197,0.2,-0.15465121261775494,0.0469140625,2,0.83,6.118777891993522,120.34,1,95.09976025206372,3.6317235407845843,972800
3,1,8,2,7.411932468414307,1848320,8,972800,0.001,93.0,1489,320,,,,,,,,,,,,,,,,,,
