rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,curriculum/preferred_eval_mode,curriculum/stage_timesteps,curriculum/max_steps,train/ent_coef,curriculum/stage,curriculum/grid_size,curriculum/obs_quantity,train/stage_learning_rate,eval/std_ep_length,eval/std_reward,eval/mean_reward,eval/mean_ep_length,eval/full_coverage_rate,eval/stage_timesteps,eval/deterministic,eval/stage,eval/deterministic_promotion_floor,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/coverage_promotion_passed,eval/promotion_min_mean_reward,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/promotion_max_mean_length,eval/quality_promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/stochastic_quality_passed,eval/promotion_full_coverage_rate
7.271818161010742,6,189440,458,33,44.6,0.6743077039718628,279,0.15,0.014836444,0.166442808248613,7e-05,-0.4728348512355595,0.12146832191780822,0.002777310439117559,0.2231658697128296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.20844841003418,7,192000,447,40,42.71,0.6006637811660767,282,0.15,0.012794333,0.16083116583526136,7e-05,-0.4424157440662384,0.130625,0.003562559448182583,0.17582562565803528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2634477615356445,8,194560,436,46,40.59,0.8274360299110413,285,0.15,0.015916362,0.12714118137955666,7e-05,-0.43557323639591533,0.12369791666666667,0.0033883051170657077,0.07926028966903687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.361522674560547,9,197120,454,50,40.72,0.5397695302963257,287,0.15,0.012365559,0.21677597045587996,7e-05,-0.4072731484969457,0.10579427083333333,0.002914557388673226,0.42879217863082886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.41966438293457,10,199680,413,61,39.21,0.7258188128471375,292,0.15,0.014922502,0.11548859864059421,7e-05,-0.42024236652586194,0.1506076388888889,-0.001540899421605799,0.1037008985877037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.470090866088867,11,202240,437,64,37.84,0.580890417098999,293,0.15,0.005657258,0.14723276005436978,7e-05,-0.3777800351381302,0.078125,0.0018112350565691788,0.2924154996871948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.521641731262207,12,204800,433,70,35.17,0.44351673126220703,296,0.15,0.014310774,0.07317544390948919,7e-05,-0.3841728207010489,0.12620192307692307,-0.0004043244900038609,0.08563650399446487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.293079376220703,13,207360,451,73,37.02,0.4307295083999634,297,0.15,0.005509199,0.09573900458567283,7e-05,-0.37914738409659443,0.08363970588235294,0.0072833734619266845,0.45016762614250183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.461249351501465,14,209920,462,77,36.8,0.4530795216560364,299,0.15,0.027978135,0.16403896817616348,7e-05,-0.4085341620034185,0.11557112068965517,0.007882229887462896,0.5763564109802246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4292216300964355,15,212480,476,80,36.79,0.6509190201759338,301,0.15,0.017982692,0.06410448185422203,7e-05,-0.3694125766103918,0.08238636363636363,0.0019710708240216427,0.029698021709918976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
