time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,curriculum/max_steps,train/loss,curriculum/obs_quantity,train/explained_variance,train/stage_learning_rate,curriculum/stage_timesteps,train/value_loss,train/learning_rate,curriculum/preferred_eval_mode,train/ent_coef,train/policy_gradient_loss,train/n_updates,train/clip_range,curriculum/stage,curriculum/grid_size,train/clip_fraction,train/entropy_loss,eval/mean_reward,eval/mean_ep_length,eval/std_ep_length,eval/deterministic,eval/stage,eval/stage_timesteps,eval/full_coverage_rate,eval/std_reward,eval/promotion_min_mean_reward,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/stochastic_quality_passed
10,7.306727886199951,57,113.35,892,368640,0.006323894,,0.13609226047992706,,0.3739691376686096,,,0.2988168694078922,0.00017500000000000003,,,-0.00018354256637394427,355,0.2,,,0.063671875,-0.2705367761850357,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.007706129,,0.1538347750902176,,0.19347083568572998,,,0.2889449062943459,0.00017500000000000003,,,-0.0005259019229561091,360,0.2,,,0.0810546875,-0.27334194287657737,6.954310447275638,127.29,65.47202379642773,0,2,256000,0.93,2.1649206834562853,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.4969662092626095,219.92,117.86701659073245,1,2,256000,0.42,4.62818317805393,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,256000,,,6.75,0,0,83.2,0.51,0,0,0.42,0.48,0.93,0.93,0.93,0
1,7.137932777404785,3,119.3,1493,373760,,320,,8,,0.0002,256000,,,1,0.006026666666666666,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,
2,6.627374172210693,9,133.9,1048,378880,0.0058964705,,0.12228114157915115,,0.3600528836250305,,,0.2883469046652317,0.0002,,,0.00010315963532775641,365,0.2,,,0.0677734375,-0.27606438800692557,,,,,,,,,,,,,,,,,,,,,
3,6.768945217132568,15,130.22,980,384000,0.010176058,,0.14373251795768738,,0.490181565284729,,,0.26526644319295883,0.0002,,,-0.000909031848423183,370,0.2,,,0.0794921875,-0.317420057952404,,,,,,,,,,,,,,,,,,,,,
4,6.742588996887207,21,130.22,948,389120,0.004817649,,0.2038719654083252,,0.3341047167778015,,,0.345521192997694,0.0002,,,-0.0011940734181553126,375,0.2,,,0.055,-0.2569671869277954,,,,,,,,,,,,,,,,,,,,,
5,6.820738315582275,27,131.16,927,394240,0.005881674,,0.16008983552455902,,0.4095914363861084,,,0.2966679225862026,0.0002,,,-0.0014615666260942818,380,0.2,,,0.0451953125,-0.24841658279299736,,,,,,,,,,,,,,,,,,,,,
6,6.7888078689575195,33,129.83,917,399360,0.010582653,,0.18094077706336975,,0.4469754695892334,,,0.3490833973884582,0.0002,,,-0.0028946028696373105,385,0.2,,,0.071171875,-0.2760543455183506,,,,,,,,,,,,,,,,,,,,,
7,7.199716091156006,39,118.37,911,404480,0.0091552045,,0.1873825490474701,,0.36375850439071655,,,0.3598430639505386,0.0002,,,0.0003788385400548577,390,0.2,,,0.068671875,-0.26267733216285705,,,,,,,,,,,,,,,,,,,,,
