time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/ent_coef,train/clip_fraction,train/explained_variance,curriculum/preferred_eval_mode,train/stage_learning_rate,train/loss,train/entropy_loss,curriculum/max_steps,curriculum/obs_quantity,train/learning_rate,curriculum/stage_timesteps,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,curriculum/grid_size,curriculum/stage,eval/full_coverage_rate,eval/mean_ep_length,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length,eval/mean_reward,eval/stage_timesteps,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/diagnostic_full_coverage_rate
6,842,7.409573554992676,291840,34.45,36,0.2,,0.0532421875,0.7183282971382141,,,-0.00023609213531017303,-0.2214294520020485,,,0.0001,,279,-0.001639503836631775,0.0082386425,0.035236382856965065,,,,,,,,,,,,,,,,,
7,837,7.334778308868408,296960,38.17,42,0.2,,0.0570703125,0.7223682403564453,,,0.02874813601374626,-0.24918746054172516,,,0.0001,,284,0.00042679229751229285,0.0049216487,0.06670866325497628,,,,,,,,,,,,,,,,,
8,830,7.313714981079102,302080,36.22,49,0.2,,0.0543359375,0.7122318148612976,,,0.053888604044914246,-0.29362867966294287,,,0.0001,,289,-0.0011084649106487632,0.004292662,0.1059988198429346,,,,,,,,,,,,,,,,,
9,826,7.496220588684082,307200,33.75,55,0.2,,0.0587109375,0.7856163382530212,,,0.03775235265493393,-0.2684585478901863,,,0.0001,,294,-0.004200076065026224,0.0064831814,0.12644500702619552,,,,,,,,,,,,,,,,,
10,822,7.5084710121154785,312320,32.87,62,0.2,,0.0651953125,0.6807166934013367,,,0.05435871705412865,-0.2618238607048988,,,0.0001,,299,-0.004371943594887853,0.006348779,0.1493932968378067,,,,,,,,,,,,,,,,,
,,,,,,0.2,,0.0478515625,0.7381626963615417,,,0.06420432776212692,-0.23217233434319495,,,0.0001,,304,-0.0008181154169142246,0.0052004703,0.12108272641897201,,,1.0,30.0,1,0.14489184921639675,0,8.920762299265686,7.659908895492554,307200,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.83,55.13,1,4.1006249469338,1,65.6307328924491,5.867687559127807,307200,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,307200,0.17000000000000004,0.83,0.792,1.0,1.0,1,1.0
,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.28,1,0.2634409752529204,0,11.592307794395387,7.63804527759552,307200,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.76,67.49,1,4.658223789717826,1,74.52241206509622,5.107596673965454,307200,,,,,,,
