time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss
1773,1,363520,2,0.2,0.0001,-0.0021690679457969965,0.026478778570890427,0.7523579597473145,700,0.0053063775,0.09647244948893785,0.05376953125,-0.20419653750956057
1232,2,368640,8,0.2,0.0001,-0.005531630213372409,0.032737456262111664,0.757793128490448,710,0.009651106,0.13106751453131438,0.06619140625,-0.23745134681463242
1136,3,373760,13,0.2,0.0001,-0.006059303707443178,0.06854773312807083,0.8017250895500183,720,0.0060437364,0.1485653905197978,0.07486328125,-0.30422011218965056
1081,4,378880,18,0.2,0.0001,-0.0051805561175569895,0.08003460615873337,0.7512760758399963,730,0.0076731676,0.19196816980838777,0.06767578125,-0.2965389733016491
1064,5,384000,24,0.2,0.0001,-0.006182739660143852,0.0727849006652832,0.7296506762504578,740,0.0053326697,0.20212477326393127,0.0573828125,-0.3050008586794138
1047,6,389120,29,0.2,0.0001,-0.005365428093355149,0.08103165030479431,0.6261661648750305,750,0.005744909,0.16384564399719237,0.06599609375,-0.22891441896557807
1029,7,394240,34,0.2,0.0001,-0.007279705696273595,0.05491437762975693,0.700309157371521,760,0.007738439,0.1734097335487604,0.08578125,-0.32636529445648194
1025,8,399360,39,0.2,0.0001,-0.007087008864618838,0.07017973065376282,0.7671113014221191,770,0.007414382,0.15345121931284667,0.07298828125,-0.2951316612958908
1020,9,404480,45,0.2,0.0001,-0.007493551971856504,0.022767864167690277,0.7416821122169495,780,0.0060178004,0.12543209277093412,0.063515625,-0.24564092062413692
1014,10,409600,50,0.2,0.0001,-0.004736296799965203,0.04410792887210846,0.7886006832122803,790,0.0072232573,0.1163839916139841,0.07216796875,-0.30838767893612384
1889,1,414720,2,0.2,0.0001,-0.007522812571842223,0.03955646604299545,0.8151955604553223,800,0.006900971,0.13407661966979503,0.0679296875,-0.2650399350374937
1266,2,419840,8,0.2,0.0001,-0.0045658986479975286,0.056637998670339584,0.8468213081359863,810,0.005145312,0.16267779801040888,0.05986328125,-0.318510400056839
1158,3,424960,13,0.2,0.0001,-0.006372603916097432,0.08051761984825134,0.7889556884765625,820,0.006422662,0.1942660892754793,0.0628515625,-0.24681840009987355
1094,4,430080,18,0.2,0.0001,-0.007091315428260714,0.06198732927441597,0.7882754802703857,830,0.006407764,0.16110843360424043,0.05955078125,-0.22920121379196645
