time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,curriculum/stage_timesteps,train/approx_kl,curriculum/obs_quantity,curriculum/grid_size,train/entropy_loss,train/value_loss,curriculum/stage,curriculum/max_steps,train/policy_gradient_loss,train/ent_coef,train/loss,train/learning_rate,eval/mean_ep_length,eval/std_reward,eval/full_coverage_rate,eval/mean_reward,eval/deterministic,eval/stage,eval/stage_timesteps,eval/std_ep_length
1391,22,258.81,711680,6.0037922859191895,6,0.4803418517112732,690,0.2,0.0584765625,,0.0067903013,,,-0.2990540426969528,0.5164680871367454,,,-0.0019429525500163436,,0.288142591714859,0.0001,,,,,,,,
1391,25,249.2,716800,6.222357273101807,7,0.5798180103302002,695,0.2,0.0537890625,,0.004778344,,,-0.29654262214899063,0.5525183454155922,,,-0.0008129828562960028,,0.20904575288295746,0.0001,,,,,,,,
1391,29,255.89,721920,6.230624198913574,8,0.39010941982269287,700,0.2,0.0629296875,,0.0074428157,,,-0.28411838069558143,0.7496945860981942,,,-0.002074275342747569,,0.3508620858192444,0.0001,,,,,,,,
1392,33,258.23,727040,6.209693431854248,9,0.3830900192260742,705,0.2,0.0424609375,,0.004726867,,,-0.2783246922492981,0.7284121039509773,,,-0.0007735730102285742,,0.38244155049324036,0.0001,,,,,,,,
1392,36,257.35,732160,6.2183074951171875,10,0.377347469329834,710,0.2,0.06296875,,0.0063144364,,,-0.29202378004789353,0.6355569568276406,,,-0.0010888065909966827,,0.34634360671043396,0.0001,,,,,,,,
,,,,,,0.3205355405807495,715,0.2,0.0688671875,,0.008798877,,,-0.2876895518600941,0.627014909684658,,,-0.00023800027091056109,,0.3013094961643219,0.0001,254.56,2.385940002605237,0.87,6.339705168679356,0,3,204800,95.94658097087151
2007,2,247.49,737280,6.475357532501221,1,,,,,204800,,15,11,,,3,440,,0.002,,,,,,,,,,
1530,6,250.04,742400,6.5680460929870605,2,0.2658735513687134,720,0.2,0.0623828125,,0.007027158,,,-0.3011331102252007,0.7437913179397583,,,-0.0016397751914337278,,0.25547629594802856,0.0001,,,,,,,,
1461,10,251.95,747520,6.4507246017456055,3,0.26945698261260986,725,0.2,0.0673046875,,0.0064291456,,,-0.30380314618349075,0.6275357699394226,,,-0.0010393532901071011,,0.2594413459300995,0.0001,,,,,,,,
1436,14,260.58,752640,6.253801345825195,4,0.273751437664032,730,0.2,0.06546875,,0.009371566,,,-0.2883396850526333,0.5149247679114342,,,-0.0023096151882782577,,0.17433688044548035,0.0001,,,,,,,,
1406,18,266.36,757760,6.0590410232543945,5,0.35649019479751587,735,0.2,0.0537890625,,0.0059636096,,,-0.27942682400345803,0.4925647720694542,,,0.0004025385668501258,,0.26700618863105774,0.0001,,,,,,,,
1384,22,280.14,762880,5.615582466125488,6,0.4341200590133667,740,0.2,0.0651953125,,0.008130423,,,-0.27858158767223357,0.41662076994776726,,,-0.0027526367362588644,,0.19504664838314056,0.0001,,,,,,,,
1374,26,287.84,768000,5.55153751373291,7,0.447501003742218,745,0.2,0.06515625,,0.005825267,,,-0.3059750132262707,0.51114128023386,,,0.000496965441852808,,0.2287832647562027,0.0001,,,,,,,,
1375,29,283.47,773120,5.477121353149414,8,0.3502967953681946,750,0.2,0.0570703125,,0.0064439205,,,-0.2794743639230728,0.7394213134050369,,,-0.003331385697238147,,0.30371445417404175,0.0001,,,,,,,,
1375,33,273.77,778240,5.6716694831848145,9,0.37566161155700684,755,0.2,0.047578125,,0.004343187,,,-0.28688670247793197,0.7246495312452317,,,-0.0010270213102921844,,0.3737463057041168,0.0001,,,,,,,,
1379,37,265.8,783360,6.063140869140625,10,0.4080437421798706,760,0.2,0.0438671875,,0.0040246556,,,-0.2733537644147873,0.685782421529293,,,-0.0013003846118226647,,0.25553786754608154,0.0001,,,,,,,,
,,,,,,0.3593948483467102,765,0.2,0.0554296875,,0.0053240224,,,-0.2643880641460419,0.6834523072838783,,,-0.0009813023032620549,,0.20390866696834564,0.0001,238.8,1.92769504756333,0.92,6.7144402021169665,0,3,256000,89.81302800819044
1894,2,254.85,788480,6.414324760437012,1,,,,,256000,,15,11,,,3,440,,0.002,,,,,,,,,,
1434,7,255.93,793600,6.120105743408203,2,0.39543038606643677,770,0.2,0.0539453125,,0.007485294,,,-0.27948047772049905,0.5978441923856735,,,-0.002607020833529532,,0.28343626856803894,0.0001,,,,,,,,
1394,11,262.21,798720,5.9552459716796875,3,0.4887881278991699,775,0.2,0.0661328125,,0.008331342,,,-0.30406284928321836,0.5992068690061569,,,-0.002172136208973825,,0.3145059049129486,0.0001,,,,,,,,
1392,14,263.78,803840,5.889606475830078,4,0.5530589818954468,780,0.2,0.0629296875,,0.006476895,,,-0.2764213353395462,0.4565673330426216,,,-0.0017525827838107944,,0.19247721135616302,0.0001,,,,,,,,
1375,18,273.48,808960,5.571493148803711,5,0.5071860551834106,785,0.2,0.071015625,,0.0076088062,,,-0.2954516652226448,0.6539836052060127,,,-0.00019257040228694676,,0.22593329846858978,0.0001,,,,,,,,
1379,22,271.88,814080,5.6030097007751465,6,0.4736865758895874,790,0.2,0.05875,,0.00626852,,,-0.2814433567225933,0.7815466386079788,,,-0.001109628384001553,,0.46611830592155457,0.0001,,,,,,,,
1386,25,273.5,819200,5.576662540435791,7,0.5134100914001465,795,0.2,0.045703125,,0.0046522957,,,-0.281237061470747,0.6264095175266265,,,-0.0026513118809089065,,0.2645837962627411,0.0001,,,,,,,,
1390,29,270.04,824320,5.799981594085693,8,0.5006130933761597,800,0.2,0.05484375,,0.007208387,,,-0.2955538719892502,0.6143688341975212,,,-0.0012042925506830216,,0.18315854668617249,0.0001,,,,,,,,
1393,33,264.89,829440,6.000387191772461,9,0.34839165210723877,805,0.2,0.0528515625,,0.0053347712,,,-0.28353610217571257,0.6856916883587837,,,-0.0008831884758546949,,0.3748703598976135,0.0001,,,,,,,,
1394,36,264.46,834560,6.122920036315918,10,0.3307332396507263,810,0.2,0.068046875,,0.007833986,,,-0.28676518142223356,0.6948998674750329,,,-0.0022002828121185304,,0.25963813066482544,0.0001,,,,,,,,
,,,,,,0.412563681602478,815,0.2,0.06640625,,0.00538027,,,-0.31050241708755494,0.6214235842227935,,,-0.0007047334965318441,,0.26025235652923584,0.0001,255.46,2.6427751567528595,0.83,6.102761537060141,0,3,307200,98.14442622991893
2031,2,268.08,839680,5.985173225402832,1,,,,,307200,,15,11,,,3,440,,0.002,,,,,,,,,,
1530,6,266.32,844800,6.0952019691467285,2,0.40836697816848755,820,0.2,0.050625,,0.0050583063,,,-0.3133202713727951,0.6284410765767098,,,-0.0012879705661907792,,0.28871846199035645,0.0001,,,,,,,,
1505,10,268.07,849920,6.049221038818359,3,0.30219918489456177,825,0.2,0.06296875,,0.005294475,,,-0.3034044924378395,0.6884026330709457,,,-0.0022124612890183928,,0.3021913468837738,0.0001,,,,,,,,
1488,13,266.67,855040,5.979707717895508,4,0.6325188875198364,830,0.2,0.0505859375,,0.005178425,,,-0.29165981471538543,0.6075229948759079,,,-0.003058510525152087,,0.36266568303108215,0.0001,,,,,,,,
1481,17,264.9,860160,5.97865104675293,5,0.5318849086761475,835,0.2,0.0471875,,0.0059095267,,,-0.26158949598670006,0.7561604127287864,,,-0.002968883025459945,,0.3153184950351715,0.0001,,,,,,,,
1473,20,260.2,865280,6.067550182342529,6,0.516281008720398,840,0.2,0.0652734375,,0.010091623,,,-0.2624699707329273,0.5357693046331405,,,-0.001646480541676283,,0.29880625009536743,0.0001,,,,,,,,
1463,24,257.47,870400,6.15676736831665,7,0.3301563262939453,845,0.2,0.053046875,,0.00497799,,,-0.24094966948032379,0.604819777905941,,,-0.0008488290710374713,,0.3031606078147888,0.0001,,,,,,,,
1456,28,248.68,875520,6.362957954406738,8,0.5565399527549744,850,0.2,0.0506640625,,0.0067407847,,,-0.257338475137949,0.6759803521633149,,,-0.0017514703888446093,,0.36784788966178894,0.0001,,,,,,,,
1453,31,253.26,880640,6.200775146484375,9,0.30925267934799194,855,0.2,0.05953125,,0.006702896,,,-0.24260407492518424,0.6839783152937889,,,0.00011363341007381678,,0.26909881830215454,0.0001,,,,,,,,
1448,35,243.53,885760,6.4610700607299805,10,0.4321519136428833,860,0.2,0.05328125,,0.005733993,,,-0.26684119790792465,0.5502438658475876,,,-0.0017200806364417076,,0.2446814924478531,0.0001,,,,,,,,
,,,,,,0.44814246892929077,865,0.2,0.0461328125,,0.004069396,,,-0.22071953028440475,0.6715322417020798,,,-0.0015637903194874526,,0.41929152607917786,0.0001,254.91,2.664290071750776,0.84,6.111635361388326,0,3,358400,104.64693927678918
2005,2,248.83,890880,6.465153217315674,1,,,,,358400,,15,11,,,3,440,,0.002,,,,,,,,,,
1521,6,248.0,896000,6.455529689788818,2,0.3489086627960205,870,0.2,0.054140625,,0.006609845,,,-0.2397950692474842,0.6564130276441574,,,-0.0005157597269862891,,0.26966947317123413,0.0001,,,,,,,,
1472,10,263.55,901120,6.0562214851379395,3,0.31188035011291504,875,0.2,0.050234375,,0.0072829155,,,-0.23407636508345603,0.6924032551050187,,,-5.042842123657465e-05,,0.3045482635498047,0.0001,,,,,,,,
1445,14,263.84,906240,6.020653247833252,4,0.31499892473220825,880,0.2,0.061015625,,0.010127452,,,-0.23467080429196358,0.3058843688666821,,,-0.0015764146205037833,,0.08535174280405045,0.0001,,,,,,,,
1417,18,265.52,911360,5.921794891357422,5,0.5686835050582886,885,0.2,0.048671875,,0.0067676096,,,-0.23853607073426247,0.5537747979164124,,,-0.0020631459960713983,,0.21569393575191498,0.0001,,,,,,,,
1403,21,258.55,916480,5.939774990081787,6,0.4747883081436157,890,0.2,0.0518359375,,0.007929062,,,-0.24143491581082344,0.6164659041166306,,,-0.0030652586091309787,,0.26980695128440857,0.0001,,,,,,,,
1395,25,257.54,921600,5.9078145027160645,7,0.3724389672279358,895,0.2,0.0422265625,,0.0045759706,,,-0.2246931903064251,0.646585174202919,,,-0.001790199247188866,,0.22830168902873993,0.0001,,,,,,,,
1395,29,240.18,926720,6.365764617919922,8,0.4530431032180786,900,0.2,0.056171875,,0.0052863443,,,-0.22555251389741898,0.5697607564926147,,,-0.0022363238036632537,,0.343574583530426,0.0001,,,,,,,,
1390,33,239.22,931840,6.4726715087890625,9,0.4298281669616699,905,0.2,0.0444921875,,0.006782961,,,-0.21139805510640144,0.6620518845319748,,,0.0005506374198012054,,0.4165153503417969,0.0001,,,,,,,,
1389,36,238.24,936960,6.469701766967773,10,0.4245745539665222,910,0.2,0.0581640625,,0.010500026,,,-0.22952475309371947,0.6242495694756508,,,-0.001573036485351622,,0.23829975724220276,0.0001,,,,,,,,
,,,,,,0.2732403874397278,915,0.2,0.0362890625,,0.004113185,,,-0.20476592615246772,0.6321204322576522,,,-0.0018968937220051885,,0.3304103910923004,0.0001,228.49,2.352045903969098,0.88,6.547088482901454,0,3,409600,93.52320514182563
1914,2,236.79,942080,6.482924938201904,1,,,,,409600,,15,11,,,3,440,,0.002,,,,,,,,,,
1544,6,243.38,947200,6.3177490234375,2,0.3041980266571045,920,0.2,0.0376953125,,0.004047052,,,-0.2086637571454048,0.4722657224535942,,,-0.0011467270972207188,,0.21457110345363617,0.0001,,,,,,,,
1474,10,243.52,952320,6.209512233734131,3,0.4033421277999878,925,0.2,0.0516015625,,0.0069450825,,,-0.21580009281635285,0.3891133552789688,,,-0.0013458290207199752,,0.21467101573944092,0.0001,,,,,,,,
1433,14,252.78,957440,5.91062068939209,4,0.4115222096443176,930,0.2,0.0523046875,,0.006472984,,,-0.22085570693016052,0.4630643481016159,,,-0.0006933867582120002,,0.2534596025943756,0.0001,,,,,,,,
1415,18,264.84,962560,5.6110944747924805,5,0.4911530613899231,935,0.2,0.0569921875,,0.008355719,,,-0.2268121884763241,0.4023964862525463,,,0.0008706216234713793,,0.19336621463298798,0.0001,,,,,,,,
1400,21,267.45,967680,5.531500816345215,6,0.5003812313079834,940,0.2,0.048515625,,0.005030794,,,-0.2001514622569084,0.5880530440807342,,,-0.0013978663040325045,,0.3540163040161133,0.0001,,,,,,,,
1394,25,280.96,972800,5.2034125328063965,7,0.5537259578704834,945,0.2,0.051796875,,0.0054319436,,,-0.21286191716790198,0.6520397421717644,,,-0.00046379344537854193,,0.24224211275577545,0.0001,,,,,,,,
1382,29,274.75,977920,5.311007022857666,8,0.55914705991745,950,0.2,0.052421875,,0.003962313,,,-0.23115860521793366,0.6724602600932121,,,-0.0009016444813460112,,0.4372982680797577,0.0001,,,,,,,,
1382,33,275.94,983040,5.272900581359863,9,0.40069442987442017,955,0.2,0.0526171875,,0.005332116,,,-0.2296737526357174,0.8046550443768501,,,-0.0011519569903612136,,0.3694319427013397,0.0001,,,,,,,,
1378,37,272.27,988160,5.462327480316162,10,0.6108092069625854,960,0.2,0.05296875,,0.00892547,,,-0.2220622244477272,0.5413300988078117,,,-0.0010827778140082955,,0.2732563614845276,0.0001,,,,,,,,
,,,,,,0.5489845275878906,965,0.2,0.0417578125,,0.0039314516,,,-0.2270654784142971,0.7782127019762993,,,-0.0022382737882435323,,0.33089983463287354,0.0001,266.14,3.1584978286747942,0.74,5.504014867991209,0,3,460800,117.17610848632924
1972,2,279.24,993280,5.232515811920166,1,,,,,460800,,15,11,,,3,440,,0.002,,,,,,,,,,
1588,6,266.55,998400,5.5964250564575195,2,0.5086619853973389,970,0.2,0.0567578125,,0.0090637775,,,-0.2508900684118271,0.6480920642614365,,,-0.002299570725299418,,0.32118913531303406,0.0001,,,,,,,,
