time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
624640,8,1200,2,0.6806522607803345,0.052133413461538464,-0.1695684634230949,0.2,0.031462677,1210,0.12910870172001504,-0.0021361110982700037,0.07244156301021576,0.0001
629760,14,1060,3,0.6982638835906982,0.074609375,-0.22684751510620116,0.2,0.013067965,1220,0.14111384466290475,-0.003251431419048458,0.05990695208311081,0.0001
634880,20,994,4,0.7584583759307861,0.0598046875,-0.20566547058522702,0.2,0.0069831265,1230,0.1562098203226924,-0.004625630504451692,0.06635966151952744,0.0001
640000,26,964,5,0.7735269665718079,0.060234375,-0.22076971851289273,0.2,0.01010902,1240,0.16909212991595268,-0.004039692066144198,0.08360224217176437,0.0001
645120,32,947,6,0.8158987760543823,0.08068359375,-0.2657630095630884,0.2,0.0084663015,1250,0.1846627462655306,-0.006415146740619093,0.08021792024374008,0.0001
650240,39,913,7,0.852337121963501,0.06376953125,-0.2526971987634897,0.2,0.0070012035,1260,0.1877021674066782,-0.006060068795923143,0.09713345766067505,0.0001
655360,45,903,8,0.7880672216415405,0.05376953125,-0.22244611270725728,0.2,0.006826577,1270,0.214197630956769,-0.0031166779738850893,0.09186674654483795,0.0001
660480,51,893,9,0.6094716787338257,0.05826171875,-0.20349925577640535,0.2,0.007640887,1280,0.20711655393242837,-0.00561460793716833,0.07943084836006165,0.0001
665600,57,890,10,0.8400408029556274,0.060234375,-0.2715709806978703,0.2,0.0059183543,1290,0.18621529314666987,-0.0017996763135306537,0.0876123383641243,0.0001
670720,3,1667,1,0.7930487990379333,0.0703125,-0.21774846233427525,0.2,0.011253837,1300,0.19383053719997406,-0.0057385482522659004,0.06581977009773254,0.0001
675840,9,1038,2,0.7030394077301025,0.0672265625,-0.20068229839205742,0.2,0.008267776,1310,0.14738405611366034,-0.007151185635011643,0.07388516515493393,0.0001
680960,16,934,3,0.7039254903793335,0.067265625,-0.28090793654322627,0.2,0.008843983,1320,0.20222999058663846,-0.005988059225492179,0.08303096890449524,0.0001
686080,22,921,4,0.497890830039978,0.064609375,-0.19204759351909162,0.2,0.0077919206,1330,0.17949848748743535,-0.005130264139734208,0.06689250469207764,0.0001
691200,28,913,5,0.7480392456054688,0.0705078125,-0.24065367504954338,0.2,0.008153283,1340,0.16868695616722107,-0.004271536523010582,0.047670476138591766,0.0001
696320,33,906,6,0.6091700196266174,0.0605078125,-0.19893782913684846,0.2,0.00756168,1350,0.1593178617581725,-0.0041122572019230575,0.04887370392680168,0.0001
701440,39,898,7,0.6975123882293701,0.07115234375,-0.2518153403699398,0.2,0.006720436,1360,0.16886848665773868,-0.005580050768330693,0.06257383525371552,0.0001
706560,45,891,8,0.6543108224868774,0.06162109375,-0.23670924700796603,0.2,0.007919268,1370,0.16951916754245758,-0.005416175969876349,0.07544981688261032,0.0001
711680,52,883,9,0.6453810930252075,0.0634765625,-0.2454002461582422,0.2,0.006373639,1380,0.18748865753412247,-0.003495634258724749,0.07313921302556992,0.0001
716800,58,877,10,0.7078258991241455,0.0780078125,-0.2650238621234894,0.2,0.013812719,1390,0.18659119170159102,-0.004355743688065559,0.08471471816301346,0.0001
721920,3,1392,1,0.6456137895584106,0.061953125,-0.21022047095000743,0.2,0.00921839,1400,0.18191423907876014,-0.005512681051623076,0.06358647346496582,0.0001
727040,8,1140,2,0.46739792823791504,0.09555075354609929,-0.32754666965903967,0.2,0.062659055,1408,0.14009218139851348,-0.0037963293849470766,0.05838631093502045,0.0001
732160,15,1006,3,0.5543720722198486,0.09345703125,-0.35996826335787774,0.2,0.010095434,1418,0.11418316394090652,-0.006294437436154112,0.03955383226275444,0.0001
737280,21,952,4,0.6055797338485718,0.087578125,-0.33078876227140425,0.2,0.012553675,1428,0.11959538880735636,-0.006315552101004869,0.03675581514835358,0.0001
742400,27,924,5,0.5685153007507324,0.0812109375,-0.353476542532444,0.2,0.008084752,1438,0.1353598330542445,-0.005564458298031241,0.053185395896434784,0.0001
747520,33,907,6,0.5184678435325623,0.06654296875,-0.36494444638490675,0.2,0.007173451,1448,0.14451619535684584,-0.0048537411214783785,0.04240589216351509,0.0001
752640,40,892,7,0.6428003311157227,0.09634765625,-0.4272362923622131,0.2,0.011750443,1458,0.14678968250751495,-0.007288730579894036,0.0512041300535202,0.0001
757760,46,881,8,0.5883427262306213,0.06958984375,-0.3319423109292984,0.2,0.00876335,1468,0.16872870068997145,-0.0062505933083593845,0.06314325332641602,0.0001
762880,52,872,9,0.5743795037269592,0.074765625,-0.34942252188920975,0.2,0.010344355,1478,0.20911753572523595,-0.006412103611510247,0.09209432452917099,0.0001
