time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/stage_learning_rate,curriculum/stage,train/ent_coef,curriculum/max_steps,curriculum/obs_quantity,curriculum/stage_timesteps,curriculum/grid_size,curriculum/preferred_eval_mode,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/full_coverage_rate,eval/std_reward,eval/stage,eval/std_ep_length,eval/stage_timesteps,eval/deterministic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/promotion_passed,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed
,,,,,,,,,,,,,,,,,,,,,,,,7.231158876419068,43.24,0,1.0,0.6654119542934092,1,19.914878859787223,153600,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.715811159610748,58.43,1,0.85,7.596307411075167,1,59.91815334270574,153600,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,153600,0.85,1.0,1,1.0,1.0,0,32.5,1,0.15000000000000002,0,6.75,0.0,0
,,,,,,,,,,,,,,,,,,,,,,,,7.187852087020874,41.82,0,0.98,1.5917628578178216,1,26.032049477519056,153600,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3.2637976932525636,62.09,1,0.83,10.010717627193408,1,62.989061748846524,153600,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,153600,0.83,0.98,0,0.98,0.98,0,32.5,0,0.15000000000000002,0,6.75,0.0,0
1,6.914374828338623,161280,1,47.42,2092,,,,,,,,,,,7e-05,1,0.0010000000000000009,200,3,153600,5,1,,,,,,,,,,,,,,,,,,,,,
2,7.292140960693359,163840,5,42.81,856,0.016300917044281958,0.2,0.043103058,7e-05,0.1534375,0.22797249257564545,240,0.7180616855621338,-0.5349834418296814,0.22087614454329013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.245443820953369,166400,20,42.78,368,-0.0029733028914779424,0.2,0.014434281,7e-05,0.115546875,0.11946458369493484,245,0.4419727921485901,-0.48978846400976184,0.15490988578647374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7.100119590759277,168960,24,44.41,414,0.004074981510639191,0.2,0.020323714,7e-05,0.1365625,0.4629148840904236,247,0.5288651585578918,-0.4861145305633545,0.21427843153476714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
