rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/policy_gradient_loss,curriculum/grid_size,curriculum/max_steps,train/value_loss,train/learning_rate,curriculum/obs_quantity,train/loss,curriculum/stage,curriculum/stage_timesteps,train/approx_kl,train/clip_fraction,curriculum/preferred_eval_mode,train/stage_learning_rate,train/n_updates,train/ent_coef,train/clip_range,train/entropy_loss,train/explained_variance,eval/stage,eval/mean_reward,eval/stage_timesteps,eval/mean_ep_length,eval/std_ep_length,eval/full_coverage_rate,eval/deterministic,eval/std_reward,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/stochastic_full_coverage_rate,eval/promotion_full_coverage_rate
30.6,271360,9,7.501204967498779,1049,2,-0.0032376378402113916,,,0.06428776361048222,0.0001,,0.02396266721189022,,,0.008270147,0.0605078125,,,260,,0.2,-0.21300387084484101,0.6960402131080627,,,,,,,,,,,,,
29.33,276480,15,7.610414981842041,961,3,-0.004042574940249324,,,0.050500184446573254,0.0001,,0.022760991007089615,,,0.0055714757,0.045390625,,,265,,0.2,-0.18558334067463875,0.7629059553146362,,,,,,,,,,,,,
29.7,281600,22,7.60051155090332,916,4,-0.0027937739342451095,,,0.03253481676802039,0.0001,,0.01163041777908802,,,0.005171933,0.0428515625,,,270,,0.2,-0.1745981015264988,0.7234441041946411,,,,,,,,,,,,,
30.47,286720,28,7.576290130615234,896,5,-0.003345200591720641,,,0.0530609218403697,0.0001,,0.002957873046398163,,,0.010017044,0.05796875,,,275,,0.2,-0.19079379230737686,0.7174721360206604,,,,,,,,,,,,,
32.15,291840,34,7.513608455657959,882,6,-0.0027399052679538726,,,0.06451908942312003,0.0001,,0.010434562340378761,,,0.004776671,0.048984375,,,280,,0.2,-0.19224983975291252,0.7341631054878235,,,,,,,,,,,,,
29.92,296960,41,7.521728038787842,873,7,0.0007996384846046567,,,0.06765772562474012,0.0001,,0.02700577862560749,,,0.006644608,0.0526171875,,,285,,0.2,-0.20882547169923782,0.7133073806762695,,,,,,,,,,,,,
29.92,302080,47,7.585864067077637,862,8,-0.0038387794373556973,,,0.06263785943388939,0.0001,,0.029244471341371536,,,0.006788496,0.0513671875,,,290,,0.2,-0.19139080241322518,0.7601782083511353,,,,,,,,,,,,,
29.93,307200,53,7.595300674438477,856,9,-0.002908949083648622,,,0.07247924461960792,0.0001,,0.02923259511590004,,,0.0055813333,0.048515625,,,295,,0.2,-0.21575241178274154,0.7231240272521973,,,,,,,,,,,,,
31.6,312320,60,7.463272571563721,852,10,-0.00039225500542670487,,,0.051605921275913715,0.0001,,0.04839693009853363,,,0.0058153803,0.056796875,,,300,,0.2,-0.1926037362217903,0.7134451270103455,,,,,,,,,,,,,
,,,,,,-0.0026980652147904037,,,0.059972652420401576,0.0001,,0.04444776102900505,,,0.00950172,0.0621484375,,,305,,0.2,-0.19337673902511596,0.6459604501724243,1,7.526346433162689,307200,29.85,18.668355578357726,0.99,0,1.07191226072548,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,6.457823734283448,307200,44.93,54.61506294054782,0.89,1,3.4610545986539853,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,307200,,,,,,0.89,0.99,0.09999999999999998,0.99,0.89
30.4,317440,3,7.5200910568237305,1440,1,,5,200,,,3,,1,307200,,,1,0.0001,,0.0010000000000000009,,,,,,,,,,,,,,,,
27.98,322560,10,7.638852119445801,1004,2,-0.002380956201814115,,,0.051545786261558535,0.0001,,0.012611361220479012,,,0.006365248,0.05,,,310,,0.2,-0.18769197300076484,0.6718788146972656,,,,,,,,,,,,,
28.46,327680,16,7.622534275054932,938,3,-0.0010254835709929467,,,0.0316380038484931,0.0001,,0.0110806068405509,,,0.004266508,0.035234375,,,315,,0.2,-0.15035597614943982,0.6858856678009033,,,,,,,,,,,,,
27.13,332800,22,7.641892910003662,905,4,-0.003351298188790679,,,0.0280854325927794,0.0001,,0.014643163420259953,,,0.00537021,0.0450390625,,,320,,0.2,-0.1512104694545269,0.7840685248374939,,,,,,,,,,,,,
28.08,337920,28,7.634364128112793,888,5,-0.0019286127155646682,,,0.04416078740730882,0.0001,,0.012117291800677776,,,0.0058700223,0.0404296875,,,325,,0.2,-0.16121241137385367,0.727658748626709,,,,,,,,,,,,,
31.45,343040,34,7.420165538787842,878,6,-0.002667806311510503,,,0.03243102639913559,0.0001,,0.019220829010009766,,,0.005495133,0.04484375,,,330,,0.2,-0.14584191739559174,0.7403683662414551,,,,,,,,,,,,,
30.03,348160,41,7.575812339782715,867,7,0.001764578679576516,,,0.052140072397887705,0.0001,,0.01781642809510231,,,0.0059642456,0.0445703125,,,335,,0.2,-0.16687671199440957,0.785784900188446,,,,,,,,,,,,,
33.47,353280,47,7.39467716217041,858,8,-0.00027690653689205647,,,0.05270629238337279,0.0001,,0.02198021113872528,,,0.00445756,0.035625,,,340,,0.2,-0.15333787344396113,0.7309293746948242,,,,,,,,,,,,,
33.06,358400,54,7.356602191925049,852,9,0.0006919379113242031,,,0.0684343857690692,0.0001,,0.019427387043833733,,,0.0058067716,0.052421875,,,345,,0.2,-0.19750857055187226,0.7261528968811035,,,,,,,,,,,,,
27.54,363520,60,7.638148307800293,847,10,-0.002487884983420372,,,0.07815324828028679,0.0001,,0.050400540232658386,,,0.006467464,0.0443359375,,,350,,0.2,-0.16932375416159628,0.5197150707244873,,,,,,,,,,,,,
,,,,,,0.0018350359005853533,,,0.04105205371975899,0.0001,,0.012943733483552933,,,0.003565053,0.037421875,,,355,,0.2,-0.13812814705073834,0.6567395329475403,1,7.522420253753662,358400,31.46,21.141627184301587,1.0,0,0.6424221968983881,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,6.992994251251221,358400,35.87,41.56889582368047,0.94,1,2.7132295093749628,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,358400,,,,,,0.94,1.0,0.06000000000000005,1.0,0.94
33.35,368640,3,7.402881622314453,1429,1,,5,200,,,3,,1,358400,,,1,0.0001,,0.0010000000000000009,,,,,,,,,,,,,,,,
29.92,373760,10,7.565182685852051,1009,2,-0.0030502695916220547,,,0.0684857414290309,0.0001,,0.024683713912963867,,,0.0043265773,0.0434375,,,360,,0.2,-0.17438390478491783,0.7341465950012207,,,,,,,,,,,,,
27.3,378880,16,7.642330169677734,925,3,-0.0024889938952401282,,,0.06227179612964392,0.0001,,0.032285578548908234,,,0.0049117054,0.03765625,,,365,,0.2,-0.15609674766659737,0.7585909366607666,,,,,,,,,,,,,
29.14,384000,22,7.593603134155273,899,4,-0.0024522882141172885,,,0.03484513834118843,0.0001,,0.012300319969654083,,,0.004485772,0.03453125,,,370,,0.2,-0.14138945929706095,0.637170135974884,,,,,,,,,,,,,
29.3,389120,28,7.5857391357421875,886,5,-0.0037430336559191348,,,0.0474391558766365,0.0001,,0.007602160796523094,,,0.006410645,0.05234375,,,375,,0.2,-0.17088129878044128,0.7230596542358398,,,,,,,,,,,,,
30.86,394240,35,7.4979424476623535,875,6,-0.0018882689066231251,,,0.04820979963988066,0.0001,,0.01046732533723116,,,0.0055700643,0.0459375,,,380,,0.2,-0.15928593575954436,0.765272319316864,,,,,,,,,,,,,
28.42,399360,41,7.624784469604492,866,7,-0.004241990707814693,,,0.06037114780396223,0.0001,,0.02680203504860401,,,0.007659059,0.0503125,,,385,,0.2,-0.1757630379498005,0.7742234468460083,,,,,,,,,,,,,
30.54,404480,47,7.5016255378723145,860,8,-0.0007662650942802429,,,0.04042756456881762,0.0001,,0.02305861935019493,,,0.0055065593,0.0378125,,,390,,0.2,-0.13886938214302064,0.6829496622085571,,,,,,,,,,,,,
