time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
49,665600,10,1024,-0.2775162374228239,0.2915752037614584,0.2,0.010995496,0.11683940887451172,1289,0.4276742935180664,0.0001,0.08001953125,-0.006410082211950794
2,670720,1,1846,-0.29365720398724077,0.31076396599411965,0.2,0.009497005,0.11824892461299896,1299,0.3782857656478882,0.0001,0.07169921875,-0.0041237281868234275
8,675840,2,1225,-0.27050940282642844,0.24268461920320988,0.2,0.008692857,0.12304273247718811,1309,0.3789566159248352,0.0001,0.06900390625,-0.0032525136903859674
13,680960,3,1132,-0.30335847951471806,0.21665025729686022,0.2,0.013995309,0.0626039132475853,1319,0.30844247341156006,0.0001,0.08017578125,-0.005446633012033999
18,686080,4,1086,-0.29959408804774285,0.21660435322672128,0.2,0.012216176,0.11276809126138687,1329,0.40180855989456177,0.0001,0.08478515625,-0.007479167259298265
24,691200,5,1066,-0.2703559893369675,0.2163522906601429,0.2,0.0154592525,0.09110264480113983,1339,0.4124964475631714,0.0001,0.0833984375,-0.006679424361791462
29,696320,6,1057,-0.23384568616747856,0.22843021251261234,0.2,0.009580249,0.08080433309078217,1349,0.1813340187072754,0.0001,0.069296875,-0.005684176643844694
34,701440,7,1039,-0.25152513533830645,0.19044407457113266,0.2,0.008366937,0.0736939013004303,1359,0.2122015357017517,0.0001,0.0700390625,-0.005432415823452175
40,706560,8,1017,-0.2862165202200413,0.1775125826150179,0.2,0.010030254,0.047844015061855316,1369,0.40822386741638184,0.0001,0.07591796875,-0.004592595726717263
45,711680,9,1010,-0.22697814576327802,0.16118958320468665,0.2,0.0075110747,0.05647219344973564,1379,0.5889954566955566,0.0001,0.0635546875,-0.003101356297265738
50,716800,10,1006,-0.2502095203846693,0.17198953669518233,0.2,0.009628442,0.06912479549646378,1389,0.7116826772689819,0.0001,0.06828125,-0.0029544150386936964
2,721920,1,1847,-0.23416987232863903,0.18697092439979315,0.2,0.010927858,0.04852452129125595,1399,0.7538063526153564,0.0001,0.07134765625,-0.006671319447923452
8,727040,2,1229,-0.27328860059380533,0.242493282482028,0.2,0.008966075,0.09837682545185089,1409,0.5507788062095642,0.0001,0.07296875,-0.006710170416627079
13,732160,3,1125,-0.265788901373744,0.24944699108600615,0.2,0.008345423,0.10428742319345474,1419,0.5223984122276306,0.0001,0.0619921875,-0.0035664667910896243
18,737280,4,1081,-0.2813082581758499,0.22828472651541232,0.2,0.011153248,0.11251937597990036,1429,0.397737979888916,0.0001,0.07818359375,-0.003142112244386226
24,742400,5,1055,-0.2933998803049326,0.22680876217782497,0.2,0.00744667,0.08915303647518158,1439,0.5418528914451599,0.0001,0.07220703125,-0.005947341450955719
30,747520,6,1022,-0.23383874252438544,0.21746980935335158,0.2,0.009782325,0.09539873898029327,1449,0.2796318531036377,0.0001,0.0715234375,-0.005207480769604445
35,752640,7,1005,-0.27767571456730367,0.15227047845721245,0.2,0.013423583,0.044036172330379486,1459,0.4953000545501709,0.0001,0.08423828125,-0.007958793377038092
41,757760,8,996,-0.31907048270106314,0.13749484226107597,0.2,0.0102213165,0.06895605474710464,1469,0.354963481426239,0.0001,0.0798828125,-0.006071498598903418
46,762880,9,988,-0.30480787605047227,0.16767813097685574,0.2,0.010915389,0.03820471465587616,1479,0.49946004152297974,0.0001,0.08568359375,-0.008261982810217887
51,768000,10,987,-0.2868421195447445,0.20020565774291754,0.2,0.01002045,0.06243690848350525,1489,0.5110290050506592,0.0001,0.07439453125,-0.007590155533980578
2,773120,1,1742,-0.28156062118709085,0.2548379211127758,0.2,0.007550885,0.11922767013311386,1499,0.33811503648757935,0.0001,0.06837890625,-0.005163153558969498
9,778240,2,1103,-0.2552742750197649,0.2360719972103834,0.2,0.01011087,0.06851272284984589,1509,0.4753027558326721,0.0001,0.08134765625,-0.006742091025225818
14,783360,3,1051,-0.27554016262292863,0.20214715465903282,0.2,0.013898373,0.05974825844168663,1519,0.6505793929100037,0.0001,0.09158203125,-0.005450573083944619
18,788480,4,1105,-0.2547360910423871,0.25239382804125204,0.2,0.015354372,0.10696005076169968,1524,0.6556452512741089,0.0001,0.06541846264367816,-0.002810380501865313
23,793600,5,1080,-0.2422979073226452,0.20000279158353806,0.2,0.0125424,0.0787048488855362,1534,0.6792659759521484,0.0001,0.08013671875,-0.007512564511271194
28,798720,6,1068,-0.24941963233053685,0.26014980919659136,0.2,0.010120447,0.08183278888463974,1544,0.5864003300666809,0.0001,0.0749609375,-0.0052191155287437145
33,803840,7,1057,-0.28758662156760695,0.2313782036677003,0.2,0.013303496,0.039351411163806915,1554,0.44929420948028564,0.0001,0.07669921875,-0.005736274204682559
39,808960,8,1044,-0.28209664694964887,0.25274173997342586,0.2,0.011651341,0.08266274631023407,1564,0.5226961374282837,0.0001,0.08619140625,-0.006229135205503553
44,814080,9,1033,-0.197559852078557,0.29808269925415515,0.2,0.022638371,0.1190531849861145,1574,0.23085743188858032,0.0001,0.09001953125,0.0001352486340329051
